ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,F1961,F1962,F1963,F1964,F1965,F1966,F1967,F1968,F1969,F1970,F1971,F1972,F1973,F1974,F1975,F1976,F1977,F1978,F1979,F1980,F1981,F1982,F1983,F1984,F1985,F1986,F1987,F1988,F1989,F1990,F1991,F1992,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022,Original_Data,Data_Quality,Data_Completeness,Temp_Range,Temp_StdDev,Has_Extreme_Values
106,"Korea, Rep. of",KR,KOR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.637,-0.094,-0.472,0.608,-0.178,0.099,0.17,-0.678,-0.288,-0.491,-0.193,-0.08,0.516,-0.808,0.571,-0.493,0.121,0.788,0.596,-0.465,-0.767,0.42,0.456,-0.282,0.262,-0.765,0.374,0.255,0.78,1.229,0.28,0.621,0.04,1.249,0.418,-0.019,0.737,1.47,1.032,0.414,0.893,0.65,0.618,1.185,0.918,0.478,1.237,0.946,0.95,0.498,0.31,0.402,0.519,0.987,0.944,1.637,1.459,0.966,1.485,1.551,1.762,1.659,"{'F1961': 0.637, 'F1962': -0.094, 'F1963': -0.472, 'F1964': 0.608, 'F1965': -0.178, 'F1966': 0.099, 'F1967': 0.17, 'F1968': -0.678, 'F1969': -0.288, 'F1970': -0.491, 'F1971': -0.193, 'F1972': -0.08, 'F1973': 0.516, 'F1974': -0.808, 'F1975': 0.571, 'F1976': -0.493, 'F1977': 0.121, 'F1978': 0.788, 'F1979': 0.596, 'F1980': -0.465, 'F1981': -0.767, 'F1982': 0.42, 'F1983': 0.456, 'F1984': -0.282, 'F1985': 0.262, 'F1986': -0.765, 'F1987': 0.374, 'F1988': 0.255, 'F1989': 0.78, 'F1990': 1.229, 'F1991': 0.28, 'F1992': 0.621, 'F1993': 0.04, 'F1994': 1.249, 'F1995': 0.418, 'F1996': -0.019, 'F1997': 0.737, 'F1998': 1.47, 'F1999': 1.032, 'F2000': 0.414, 'F2001': 0.893, 'F2002': 0.65, 'F2003': 0.618, 'F2004': 1.185, 'F2005': 0.918, 'F2006': 0.478, 'F2007': 1.237, 'F2008': 0.946, 'F2009': 0.95, 'F2010': 0.498, 'F2011': 0.31, 'F2012': 0.402, 'F2013': 0.519, 'F2014': 0.987, 'F2015': 0.944, 'F2016': 1.637, 'F2017': 1.459, 'F2018': 0.966, 'F2019': 1.485, 'F2020': 1.551, 'F2021': 1.762, 'F2022': 1.659}",Insufficient Data,1.0,2.5700000000000003,0.6577314835015974,False
107,Kuwait,KW,KWT,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",-0.225,0.8,0.485,-0.781,0.051,0.776,-0.621,-0.253,0.375,0.514,-0.178,-0.766,-0.274,-0.341,-0.254,-0.649,0.366,0.036,1.291,0.497,0.418,-0.142,-0.622,0.256,0.003,0.467,0.723,0.449,0.141,0.396,0.535,-0.523,-0.095,0.993,0.217,0.929,0.528,1.346,2.064,1.28,1.27,1.604,1.564,1.519,0.724,1.911,1.085,1.434,1.323,2.602,1.373,1.562,1.349,1.451,2.104,1.695,1.962,2.358,1.895,1.975,2.676,2.275,"{'F1961': -0.225, 'F1962': 0.8, 'F1963': 0.485, 'F1964': -0.781, 'F1965': 0.051, 'F1966': 0.776, 'F1967': -0.621, 'F1968': -0.253, 'F1969': 0.375, 'F1970': 0.514, 'F1971': -0.178, 'F1972': -0.766, 'F1973': -0.274, 'F1974': -0.341, 'F1975': -0.254, 'F1976': -0.649, 'F1977': 0.366, 'F1978': 0.036, 'F1979': 1.291, 'F1980': 0.497, 'F1981': 0.418, 'F1982': -0.142, 'F1983': -0.622, 'F1984': 0.256, 'F1985': 0.003, 'F1986': 0.467, 'F1987': 0.723, 'F1988': 0.449, 'F1989': 0.141, 'F1990': 0.396, 'F1991': 0.535, 'F1992': -0.523, 'F1993': -0.095, 'F1994': 0.993, 'F1995': 0.217, 'F1996': 0.929, 'F1997': 0.528, 'F1998': 1.346, 'F1999': 2.064, 'F2000': 1.28, 'F2001': 1.27, 'F2002': 1.604, 'F2003': 1.564, 'F2004': 1.519, 'F2005': 0.724, 'F2006': 1.911, 'F2007': 1.085, 'F2008': 1.434, 'F2009': 1.323, 'F2010': 2.602, 'F2011': 1.373, 'F2012': 1.562, 'F2013': 1.349, 'F2014': 1.451, 'F2015': 2.104, 'F2016': 1.695, 'F2017': 1.962, 'F2018': 2.358, 'F2019': 1.895, 'F2020': 1.975, 'F2021': 2.676, 'F2022': 2.275}",Insufficient Data,1.0,3.4570000000000003,0.9159354338225933,False
108,Kyrgyz Rep.,KG,KGZ,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,-0.068,0.309,0.495,-0.382,1.467,0.84,1.112,1.131,1.503,1.481,0.494,1.569,1.21,1.677,1.743,1.035,1.027,1.402,1.27,0.353,1.428,0.541,1.546,1.898,1.478,1.28,1.679,1.427,1.417,2.619,"{'F1961': nan, 'F1962': nan, 'F1963': nan, 'F1964': nan, 'F1965': nan, 'F1966': nan, 'F1967': nan, 'F1968': nan, 'F1969': nan, 'F1970': nan, 'F1971': nan, 'F1972': nan, 'F1973': nan, 'F1974': nan, 'F1975': nan, 'F1976': nan, 'F1977': nan, 'F1978': nan, 'F1979': nan, 'F1980': nan, 'F1981': nan, 'F1982': nan, 'F1983': nan, 'F1984': nan, 'F1985': nan, 'F1986': nan, 'F1987': nan, 'F1988': nan, 'F1989': nan, 'F1990': nan, 'F1991': nan, 'F1992': 0.093, 'F1993': -0.068, 'F1994': 0.309, 'F1995': 0.495, 'F1996': -0.382, 'F1997': 1.467, 'F1998': 0.84, 'F1999': 1.112, 'F2000': 1.131, 'F2001': 1.503, 'F2002': 1.481, 'F2003': 0.494, 'F2004': 1.569, 'F2005': 1.21, 'F2006': 1.677, 'F2007': 1.743, 'F2008': 1.035, 'F2009': 1.027, 'F2010': 1.402, 'F2011': 1.27, 'F2012': 0.353, 'F2013': 1.428, 'F2014': 0.541, 'F2015': 1.546, 'F2016': 1.898, 'F2017': 1.478, 'F2018': 1.28, 'F2019': 1.679, 'F2020': 1.427, 'F2021': 1.417, 'F2022': 2.619}",Insufficient Data,1.0,3.0010000000000003,0.6903904131198254,False
109,Lao People's Dem. Rep.,LA,LAO,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.049,-0.271,-0.412,-0.077,-0.176,0.453,-0.123,-0.128,0.514,-0.021,-0.442,-0.002,0.48,-0.405,0.265,-0.49,0.018,0.193,0.538,0.512,0.486,0.217,0.321,0.129,0.321,0.079,0.982,0.361,0.299,0.487,0.757,0.259,0.338,0.464,0.692,0.198,0.384,1.485,0.721,0.094,0.766,0.664,1.037,0.48,0.961,0.929,0.649,0.334,0.696,1.431,0.214,1.048,1.22,0.837,1.497,1.519,1.243,0.955,2.2,1.719,1.287,1.112,"{'F1961': 0.049, 'F1962': -0.271, 'F1963': -0.412, 'F1964': -0.077, 'F1965': -0.176, 'F1966': 0.453, 'F1967': -0.123, 'F1968': -0.128, 'F1969': 0.514, 'F1970': -0.021, 'F1971': -0.442, 'F1972': -0.002, 'F1973': 0.48, 'F1974': -0.405, 'F1975': 0.265, 'F1976': -0.49, 'F1977': 0.018, 'F1978': 0.193, 'F1979': 0.538, 'F1980': 0.512, 'F1981': 0.486, 'F1982': 0.217, 'F1983': 0.321, 'F1984': 0.129, 'F1985': 0.321, 'F1986': 0.079, 'F1987': 0.982, 'F1988': 0.361, 'F1989': 0.299, 'F1990': 0.487, 'F1991': 0.757, 'F1992': 0.259, 'F1993': 0.338, 'F1994': 0.464, 'F1995': 0.692, 'F1996': 0.198, 'F1997': 0.384, 'F1998': 1.485, 'F1999': 0.721, 'F2000': 0.094, 'F2001': 0.766, 'F2002': 0.664, 'F2003': 1.037, 'F2004': 0.48, 'F2005': 0.961, 'F2006': 0.929, 'F2007': 0.649, 'F2008': 0.334, 'F2009': 0.696, 'F2010': 1.431, 'F2011': 0.214, 'F2012': 1.048, 'F2013': 1.22, 'F2014': 0.837, 'F2015': 1.497, 'F2016': 1.519, 'F2017': 1.243, 'F2018': 0.955, 'F2019': 2.2, 'F2020': 1.719, 'F2021': 1.287, 'F2022': 1.112}",Insufficient Data,1.0,2.6900000000000004,0.5713189849828185,False
110,Latvia,LV,LVA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",1.587,1.587,1.587,1.587,1.587,1.587,1.587,1.587,1.587,1.587,1.587,1.587,1.587,1.587,1.587,1.587,1.587,1.587,1.587,1.587,1.587,1.587,1.587,1.587,1.587,1.587,1.587,1.587,1.587,1.587,1.587,1.587,0.401,0.689,1.626,-0.411,0.766,0.657,1.562,2.022,1.83,1.73,0.253,1.027,1.355,1.087,2.206,2.403,1.524,0.704,1.151,1.408,1.082,2.33,2.166,1.946,1.503,2.36,2.462,3.55,1.987,1.953,"{'F1961': nan, 'F1962': nan, 'F1963': nan, 'F1964': nan, 'F1965': nan, 'F1966': nan, 'F1967': nan, 'F1968': nan, 'F1969': nan, 'F1970': nan, 'F1971': nan, 'F1972': nan, 'F1973': nan, 'F1974': nan, 'F1975': nan, 'F1976': nan, 'F1977': nan, 'F1978': nan, 'F1979': nan, 'F1980': nan, 'F1981': nan, 'F1982': nan, 'F1983': nan, 'F1984': nan, 'F1985': nan, 'F1986': nan, 'F1987': nan, 'F1988': nan, 'F1989': nan, 'F1990': nan, 'F1991': nan, 'F1992': 1.587, 'F1993': 0.401, 'F1994': 0.689, 'F1995': 1.626, 'F1996': -0.411, 'F1997': 0.766, 'F1998': 0.657, 'F1999': 1.562, 'F2000': 2.022, 'F2001': 1.83, 'F2002': 1.73, 'F2003': 0.253, 'F2004': 1.027, 'F2005': 1.355, 'F2006': 1.087, 'F2007': 2.206, 'F2008': 2.403, 'F2009': 1.524, 'F2010': 0.704, 'F2011': 1.151, 'F2012': 1.408, 'F2013': 1.082, 'F2014': 2.33, 'F2015': 2.166, 'F2016': 1.946, 'F2017': 1.503, 'F2018': 2.36, 'F2019': 2.462, 'F2020': 3.55, 'F2021': 1.987, 'F2022': 1.953}",Insufficient Data,1.0,3.961,0.5606117600252271,True
111,Lebanon,LB,LBN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.002,0.852,0.749,-0.719,-0.09,0.683,-0.944,-0.089,0.223,0.389,-0.306,-0.675,-0.535,-0.226,-0.253,-0.667,0.094,0.019,0.693,-0.229,0.017,-0.496,-0.958,-0.081,-0.015,0.233,-0.229,0.019,0.129,0.059,0.411,-1.017,-0.433,1.048,0.044,0.39,-0.103,1.001,1.1,0.544,1.146,0.833,0.626,0.647,0.28,0.72,0.728,0.989,0.844,2.353,0.663,1.045,1.26,1.051,1.383,1.629,1.023,2.154,1.412,1.623,2.039,1.29,"{'F1961': 0.002, 'F1962': 0.852, 'F1963': 0.749, 'F1964': -0.719, 'F1965': -0.09, 'F1966': 0.683, 'F1967': -0.944, 'F1968': -0.089, 'F1969': 0.223, 'F1970': 0.389, 'F1971': -0.306, 'F1972': -0.675, 'F1973': -0.535, 'F1974': -0.226, 'F1975': -0.253, 'F1976': -0.667, 'F1977': 0.094, 'F1978': 0.019, 'F1979': 0.693, 'F1980': -0.229, 'F1981': 0.017, 'F1982': -0.496, 'F1983': -0.958, 'F1984': -0.081, 'F1985': -0.015, 'F1986': 0.233, 'F1987': -0.229, 'F1988': 0.019, 'F1989': 0.129, 'F1990': 0.059, 'F1991': 0.411, 'F1992': -1.017, 'F1993': -0.433, 'F1994': 1.048, 'F1995': 0.044, 'F1996': 0.39, 'F1997': -0.103, 'F1998': 1.001, 'F1999': 1.1, 'F2000': 0.544, 'F2001': 1.146, 'F2002': 0.833, 'F2003': 0.626, 'F2004': 0.647, 'F2005': 0.28, 'F2006': 0.72, 'F2007': 0.728, 'F2008': 0.989, 'F2009': 0.844, 'F2010': 2.353, 'F2011': 0.663, 'F2012': 1.045, 'F2013': 1.26, 'F2014': 1.051, 'F2015': 1.383, 'F2016': 1.629, 'F2017': 1.023, 'F2018': 2.154, 'F2019': 1.412, 'F2020': 1.623, 'F2021': 2.039, 'F2022': 1.29}",Insufficient Data,1.0,3.37,0.7751838723553331,False
112,"Lesotho, Kingdom of",LS,LSO,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.371,0.272,0.026,0.007,-0.078,0.237,-0.106,-0.366,0.505,0.502,-0.015,-0.11,0.119,-0.108,-0.153,-0.422,0.295,0.125,0.326,0.19,-0.262,0.3,1.007,0.351,0.812,0.513,0.606,0.484,0.017,0.358,0.538,0.988,1.042,0.114,0.732,-0.212,0.243,0.93,1.243,0.326,0.594,0.621,0.775,0.829,0.891,0.358,0.664,0.355,0.417,1.025,0.331,0.66,0.867,1.091,1.529,2.015,1.215,1.101,1.668,0.791,1.204,1.372,"{'F1961': 0.371, 'F1962': 0.272, 'F1963': 0.026, 'F1964': 0.007, 'F1965': -0.078, 'F1966': 0.237, 'F1967': -0.106, 'F1968': -0.366, 'F1969': 0.505, 'F1970': 0.502, 'F1971': -0.015, 'F1972': -0.11, 'F1973': 0.119, 'F1974': -0.108, 'F1975': -0.153, 'F1976': -0.422, 'F1977': 0.295, 'F1978': 0.125, 'F1979': 0.326, 'F1980': 0.19, 'F1981': -0.262, 'F1982': 0.3, 'F1983': 1.007, 'F1984': 0.351, 'F1985': 0.812, 'F1986': 0.513, 'F1987': 0.606, 'F1988': 0.484, 'F1989': 0.017, 'F1990': 0.358, 'F1991': 0.538, 'F1992': 0.988, 'F1993': 1.042, 'F1994': 0.114, 'F1995': 0.732, 'F1996': -0.212, 'F1997': 0.243, 'F1998': 0.93, 'F1999': 1.243, 'F2000': 0.326, 'F2001': 0.594, 'F2002': 0.621, 'F2003': 0.775, 'F2004': 0.829, 'F2005': 0.891, 'F2006': 0.358, 'F2007': 0.664, 'F2008': 0.355, 'F2009': 0.417, 'F2010': 1.025, 'F2011': 0.331, 'F2012': 0.66, 'F2013': 0.867, 'F2014': 1.091, 'F2015': 1.529, 'F2016': 2.015, 'F2017': 1.215, 'F2018': 1.101, 'F2019': 1.668, 'F2020': 0.791, 'F2021': 1.204, 'F2022': 1.372}",Insufficient Data,1.0,2.4370000000000003,0.5168212067087228,False
113,Liberia,LR,LBR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",-0.095,-0.074,0.154,-0.133,-0.259,0.05,-0.149,-0.076,0.147,0.272,-0.131,0.025,0.504,0.023,-0.121,-0.193,0.237,0.246,0.55,0.417,0.171,0.249,0.536,0.388,0.282,0.173,0.951,0.824,0.364,0.581,0.52,0.246,0.529,0.533,0.653,0.587,0.972,1.297,0.781,0.56,0.513,0.875,0.938,0.911,1.108,1.119,1.041,1.131,1.365,1.42,1.102,0.869,0.983,0.934,1.288,1.412,1.539,1.306,1.494,1.593,1.474,1.556,"{'F1961': -0.095, 'F1962': -0.074, 'F1963': 0.154, 'F1964': -0.133, 'F1965': -0.259, 'F1966': 0.05, 'F1967': -0.149, 'F1968': -0.076, 'F1969': 0.147, 'F1970': 0.272, 'F1971': -0.131, 'F1972': 0.025, 'F1973': 0.504, 'F1974': 0.023, 'F1975': -0.121, 'F1976': -0.193, 'F1977': 0.237, 'F1978': 0.246, 'F1979': 0.55, 'F1980': 0.417, 'F1981': 0.171, 'F1982': 0.249, 'F1983': 0.536, 'F1984': 0.388, 'F1985': 0.282, 'F1986': 0.173, 'F1987': 0.951, 'F1988': 0.824, 'F1989': 0.364, 'F1990': 0.581, 'F1991': 0.52, 'F1992': 0.246, 'F1993': 0.529, 'F1994': 0.533, 'F1995': 0.653, 'F1996': 0.587, 'F1997': 0.972, 'F1998': 1.297, 'F1999': 0.781, 'F2000': 0.56, 'F2001': 0.513, 'F2002': 0.875, 'F2003': 0.938, 'F2004': 0.911, 'F2005': 1.108, 'F2006': 1.119, 'F2007': 1.041, 'F2008': 1.131, 'F2009': 1.365, 'F2010': 1.42, 'F2011': 1.102, 'F2012': 0.869, 'F2013': 0.983, 'F2014': 0.934, 'F2015': 1.288, 'F2016': 1.412, 'F2017': 1.539, 'F2018': 1.306, 'F2019': 1.494, 'F2020': 1.593, 'F2021': 1.474, 'F2022': 1.556}",Insufficient Data,1.0,1.8519999999999999,0.5348476408682743,False
114,Libya,LY,LBY,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",-0.473,0.208,0.23,-0.051,-0.077,0.251,-0.557,0.008,0.815,-0.223,-0.195,0.179,-0.188,-0.132,-0.449,-0.55,0.246,-0.26,0.302,-0.051,0.022,0.136,-0.332,-0.076,0.099,0.236,0.06,1.051,-0.006,0.557,0.231,-0.404,0.306,0.47,0.344,0.541,0.472,0.76,1.248,0.306,1.291,0.905,0.95,0.745,0.717,0.81,0.86,0.879,0.764,2.074,0.819,0.77,1.24,1.237,0.711,1.587,0.525,1.737,0.92,1.174,1.924,0.559,"{'F1961': -0.473, 'F1962': 0.208, 'F1963': 0.23, 'F1964': -0.051, 'F1965': -0.077, 'F1966': 0.251, 'F1967': -0.557, 'F1968': 0.008, 'F1969': 0.815, 'F1970': -0.223, 'F1971': -0.195, 'F1972': 0.179, 'F1973': -0.188, 'F1974': -0.132, 'F1975': -0.449, 'F1976': -0.55, 'F1977': 0.246, 'F1978': -0.26, 'F1979': 0.302, 'F1980': -0.051, 'F1981': 0.022, 'F1982': 0.136, 'F1983': -0.332, 'F1984': -0.076, 'F1985': 0.099, 'F1986': 0.236, 'F1987': 0.06, 'F1988': 1.051, 'F1989': -0.006, 'F1990': 0.557, 'F1991': 0.231, 'F1992': -0.404, 'F1993': 0.306, 'F1994': 0.47, 'F1995': 0.344, 'F1996': 0.541, 'F1997': 0.472, 'F1998': 0.76, 'F1999': 1.248, 'F2000': 0.306, 'F2001': 1.291, 'F2002': 0.905, 'F2003': 0.95, 'F2004': 0.745, 'F2005': 0.717, 'F2006': 0.81, 'F2007': 0.86, 'F2008': 0.879, 'F2009': 0.764, 'F2010': 2.074, 'F2011': 0.819, 'F2012': 0.77, 'F2013': 1.24, 'F2014': 1.237, 'F2015': 0.711, 'F2016': 1.587, 'F2017': 0.525, 'F2018': 1.737, 'F2019': 0.92, 'F2020': 1.174, 'F2021': 1.924, 'F2022': 0.559}",Insufficient Data,1.0,2.631,0.6113871026754009,False
115,Liechtenstein,LI,LIE,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",1.052,-0.483,-0.775,0.058,-0.84,0.407,0.545,0.013,-0.015,-0.553,-0.078,0.077,-0.024,0.177,0.68,0.293,0.272,-0.354,-0.081,-0.159,0.045,0.544,0.942,-0.371,-0.336,0.383,-0.045,0.929,1.089,1.308,0.184,1.09,0.635,1.925,0.9,-0.033,0.942,1.208,0.979,1.464,1.44,1.382,1.67,0.899,0.663,0.955,1.931,1.385,1.405,0.48,1.657,1.611,0.927,2.232,2.046,2.028,1.795,2.26,2.079,2.367,1.232,2.534,"{'F1961': 1.052, 'F1962': -0.483, 'F1963': -0.775, 'F1964': 0.058, 'F1965': -0.84, 'F1966': 0.407, 'F1967': 0.545, 'F1968': 0.013, 'F1969': -0.015, 'F1970': -0.553, 'F1971': -0.078, 'F1972': 0.077, 'F1973': -0.024, 'F1974': 0.177, 'F1975': 0.68, 'F1976': 0.293, 'F1977': 0.272, 'F1978': -0.354, 'F1979': -0.081, 'F1980': -0.159, 'F1981': 0.045, 'F1982': 0.544, 'F1983': 0.942, 'F1984': -0.371, 'F1985': -0.336, 'F1986': 0.383, 'F1987': -0.045, 'F1988': 0.929, 'F1989': 1.089, 'F1990': 1.308, 'F1991': 0.184, 'F1992': 1.09, 'F1993': 0.635, 'F1994': 1.925, 'F1995': 0.9, 'F1996': -0.033, 'F1997': 0.942, 'F1998': 1.208, 'F1999': 0.979, 'F2000': 1.464, 'F2001': 1.44, 'F2002': 1.382, 'F2003': 1.67, 'F2004': 0.899, 'F2005': 0.663, 'F2006': 0.955, 'F2007': 1.931, 'F2008': 1.385, 'F2009': 1.405, 'F2010': 0.48, 'F2011': 1.657, 'F2012': 1.611, 'F2013': 0.927, 'F2014': 2.232, 'F2015': 2.046, 'F2016': 2.028, 'F2017': 1.795, 'F2018': 2.26, 'F2019': 2.079, 'F2020': 2.367, 'F2021': 1.232, 'F2022': 2.534}",Insufficient Data,1.0,3.3739999999999997,0.858449392874686,False
116,Lithuania,LT,LTU,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",1.485,1.485,1.485,1.485,1.485,1.485,1.485,1.485,1.485,1.485,1.485,1.485,1.485,1.485,1.485,1.485,1.485,1.485,1.485,1.485,1.485,1.485,1.485,1.485,1.485,1.485,1.485,1.485,1.485,1.485,1.485,1.485,0.297,0.947,1.515,-0.518,0.521,0.74,1.49,2.026,1.804,1.917,0.182,0.883,1.206,0.923,2.196,2.221,1.396,0.766,0.957,1.37,0.967,2.238,2.095,1.944,1.542,2.427,2.642,3.445,1.792,1.96,"{'F1961': nan, 'F1962': nan, 'F1963': nan, 'F1964': nan, 'F1965': nan, 'F1966': nan, 'F1967': nan, 'F1968': nan, 'F1969': nan, 'F1970': nan, 'F1971': nan, 'F1972': nan, 'F1973': nan, 'F1974': nan, 'F1975': nan, 'F1976': nan, 'F1977': nan, 'F1978': nan, 'F1979': nan, 'F1980': nan, 'F1981': nan, 'F1982': nan, 'F1983': nan, 'F1984': nan, 'F1985': nan, 'F1986': nan, 'F1987': nan, 'F1988': nan, 'F1989': nan, 'F1990': nan, 'F1991': nan, 'F1992': 1.485, 'F1993': 0.297, 'F1994': 0.947, 'F1995': 1.515, 'F1996': -0.518, 'F1997': 0.521, 'F1998': 0.74, 'F1999': 1.49, 'F2000': 2.026, 'F2001': 1.804, 'F2002': 1.917, 'F2003': 0.182, 'F2004': 0.883, 'F2005': 1.206, 'F2006': 0.923, 'F2007': 2.196, 'F2008': 2.221, 'F2009': 1.396, 'F2010': 0.766, 'F2011': 0.957, 'F2012': 1.37, 'F2013': 0.967, 'F2014': 2.238, 'F2015': 2.095, 'F2016': 1.944, 'F2017': 1.542, 'F2018': 2.427, 'F2019': 2.642, 'F2020': 3.445, 'F2021': 1.792, 'F2022': 1.96}",Insufficient Data,1.0,3.963,0.5711501262227769,True
